Category,Text Size [MB],Pattern Length,Alphabet Size,Time [ms],Algorithm,Best Algo
rand2,50.0,256,2.0,83.49,AOSO2,
rand2,50.0,512,2.0,82.47,AOSO2,
rand2,50.0,1024,2.0,83.04,AOSO2,
rand2,50.0,2,2.0,580.42,BM,
rand2,50.0,4,2.0,499.36,BM,
rand2,50.0,8,2.0,384.36,BM,
rand2,50.0,16,2.0,284.66,BM,
rand2,50.0,32,2.0,221.72,BM,
rand2,50.0,64,2.0,175.01,BM,
rand2,50.0,128,2.0,137.82,BM,
rand2,50.0,256,2.0,118.60,BM,
rand2,50.0,512,2.0,110.22,BM,
rand2,50.0,1024,2.0,89.62,BM,
rand2,50.0,2,2.0,642.23,BMH-SBNDM,
