Category,Text Size [MB],Pattern Length,Alphabet Size,Time [ms],Algorithm,Best Algo
rand4,4.0,16,4,15.9,HOR,
rand4,4.0,32,4,14.81,HOR,
rand4,4.0,64,4,15.45,HOR,
rand4,4.0,128,4,12.96,HOR,
rand4,4.0,256,4,13.93,HOR,
rand4,4.0,8,4,6.34,KR,
rand4,4.0,16,4,8.33,KR,
rand4,4.0,32,4,5.73,KR,
rand4,4.0,64,4,8.49,KR,
rand4,4.0,128,4,5.73,KR,
rand4,4.0,256,4,6.82,KR,
rand4,4.0,8,4,12.25,LBNDM,
rand4,4.0,16,4,6.2,LBNDM,
rand4,4.0,32,4,3.74,LBNDM,
rand4,4.0,64,4,4.32,LBNDM,
rand4,4.0,128,4,2.29,LBNDM,
rand4,4.0,256,4,8.88,LBNDM,
rand4,4.0,8,4,13.41,RAITA,
rand4,4.0,16,4,10.86,RAITA,
rand4,4.0,32,4,13.61,RAITA,
rand4,4.0,64,4,12.67,RAITA,
rand4,4.0,128,4,12.56,RAITA,
rand4,4.0,256,4,12.28,RAITA,
rand4,4.0,8,4,6.82,SO,
rand4,4.0,16,4,4.88,SO,
rand4,4.0,32,4,5.17,SO,
rand4,4.0,64,4,4.74,SO,
rand4,4.0,128,4,6.01,SO,
rand4,4.0,256,4,4.54,SO,
rand4,4.0,8,4,24.12,TW,
rand4,4.0,16,4,24.0,TW,
rand4,4.0,32,4,24.66,TW,
rand4,4.0,64,4,23.25,TW,
rand4,4.0,128,4,24.19,TW,
rand4,4.0,256,4,23.82,TW,
rand8,1.0,8,8,0.56,AOSO2,
rand8,1.0,16,8,0.6,AOSO2,
rand8,1.0,32,8,1.13,AOSO2,
rand8,1.0,64,8,1.54,AOSO2,
rand8,1.0,128,8,0.6,AOSO2,
rand8,1.0,256,8,0.89,AOSO2,
rand8,1.0,8,8,2.74,BM,
rand8,1.0,16,8,1.45,BM,
rand8,1.0,32,8,1.39,BM,
rand8,1.0,64,8,0.89,BM,
rand8,1.0,128,8,0.82,BM,
rand8,1.0,256,8,0.78,BM,
rand8,1.0,8,8,1.43,BMH-SBNDM,
rand8,1.0,16,8,0.72,BMH-SBNDM,
rand8,1.0,32,8,0.66,BMH-SBNDM,
rand8,1.0,64,8,0.63,BMH-SBNDM,
rand8,1.0,128,8,1.11,BMH-SBNDM,
rand8,1.0,256,8,1.61,BMH-SBNDM,
rand8,1.0,8,8,1.56,BNDM,
rand8,1.0,16,8,1.1,BNDM,
rand8,1.0,32,8,0.4,BNDM,
rand8,1.0,64,8,0.37,BNDM,
rand8,1.0,128,8,0.41,BNDM,
rand8,1.0,256,8,0.36,BNDM,
rand8,1.0,8,8,1.27,FAOSO4,
rand8,1.0,16,8,0.38,FAOSO4,FAOSO4
rand8,1.0,32,8,0.42,FAOSO4,
rand8,1.0,64,8,0.35,FAOSO4,FAOSO4
rand8,1.0,128,8,0.35,FAOSO4,
rand8,1.0,256,8,0.33,FAOSO4,
rand8,1.0,8,8,1.09,FS,
rand8,1.0,16,8,0.79,FS,
rand8,1.0,32,8,0.78,FS,
rand8,1.0,64,8,1.2,FS,
rand8,1.0,128,8,0.66,FS,
rand8,1.0,256,8,0.61,FS,
rand8,1.0,8,8,0.55,FSBNDM,FSBNDM
rand8,1.0,16,8,0.45,FSBNDM,
rand8,1.0,32,8,0.35,FSBNDM,FSBNDM
rand8,1.0,64,8,0.84,FSBNDM,
rand8,1.0,128,8,0.36,FSBNDM,
rand8,1.0,256,8,0.84,FSBNDM,
rand8,1.0,8,8,1.25,HOR,
rand8,1.0,16,8,1.44,HOR,
rand8,1.0,32,8,0.88,HOR,
rand8,1.0,64,8,1.35,HOR,
rand8,1.0,128,8,1.83,HOR,
rand8,1.0,256,8,0.86,HOR,
rand8,1.0,8,8,0.92,KR,
rand8,1.0,16,8,1.26,KR,
rand8,1.0,32,8,1.15,KR,
rand8,1.0,64,8,0.93,KR,
rand8,1.0,128,8,2.05,KR,
rand8,1.0,256,8,1.43,KR,
rand8,1.0,8,8,2.14,LBNDM,
rand8,1.0,16,8,0.65,LBNDM,
rand8,1.0,32,8,0.45,LBNDM,
rand8,1.0,64,8,0.83,LBNDM,
rand8,1.0,128,8,0.32,LBNDM,LBNDM
rand8,1.0,256,8,0.31,LBNDM,LBNDM
rand8,1.0,8,8,1.49,RAITA,
rand8,1.0,16,8,0.79,RAITA,
rand8,1.0,32,8,0.77,RAITA,
rand8,1.0,64,8,1.24,RAITA,
rand8,1.0,128,8,1.22,RAITA,
rand8,1.0,256,8,1.69,RAITA,
rand8,1.0,8,8,0.72,SO,
rand8,1.0,16,8,0.77,SO,
rand8,1.0,32,8,1.2,SO,
rand8,1.0,64,8,0.75,SO,
rand8,1.0,128,8,0.85,SO,
rand8,1.0,256,8,0.68,SO,
rand8,1.0,8,8,3.08,TW,
rand8,1.0,16,8,4.2,TW,
rand8,1.0,32,8,3.12,TW,
rand8,1.0,64,8,3.63,TW,
rand8,1.0,128,8,3.49,TW,
rand8,1.0,256,8,3.15,TW,
rand8,2.0,8,8,1.68,AOSO2,AOSO2
rand8,2.0,16,8,2.2,AOSO2,
rand8,2.0,32,8,1.76,AOSO2,
rand8,2.0,64,8,2.13,AOSO2,
rand8,2.0,128,8,1.2,AOSO2,
rand8,2.0,256,8,2.13,AOSO2,
rand8,2.0,8,8,4.45,BM,
rand8,2.0,16,8,2.98,BM,
rand8,2.0,32,8,2.31,BM,
rand8,2.0,64,8,2.2,BM,
rand8,2.0,128,8,2.64,BM,
rand8,2.0,256,8,1.98,BM,
rand8,2.0,8,8,3.39,BMH-SBNDM,
rand8,2.0,16,8,2.91,BMH-SBNDM,
rand8,2.0,32,8,2.23,BMH-SBNDM,
rand8,2.0,64,8,1.23,BMH-SBNDM,
rand8,2.0,128,8,1.76,BMH-SBNDM,
rand8,2.0,256,8,1.84,BMH-SBNDM,
rand8,2.0,8,8,4.12,BNDM,
rand8,2.0,16,8,1.14,BNDM,
rand8,2.0,32,8,0.83,BNDM,
rand8,2.0,64,8,1.26,BNDM,
rand8,2.0,128,8,0.81,BNDM,
rand8,2.0,256,8,0.75,BNDM,
rand8,2.0,8,8,2.21,FAOSO4,
rand8,2.0,16,8,0.67,FAOSO4,FAOSO4
rand8,2.0,32,8,0.8,FAOSO4,
rand8,2.0,64,8,0.78,FAOSO4,
rand8,2.0,128,8,1.74,FAOSO4,
rand8,2.0,256,8,0.71,FAOSO4,FAOSO4
rand8,2.0,8,8,4.04,FS,
rand8,2.0,16,8,2.57,FS,
rand8,2.0,32,8,2.45,FS,
rand8,2.0,64,8,2.28,FS,
rand8,2.0,128,8,1.84,FS,
rand8,2.0,256,8,1.25,FS,
rand8,2.0,8,8,2.18,FSBNDM,
rand8,2.0,16,8,0.9,FSBNDM,
rand8,2.0,32,8,0.73,FSBNDM,FSBNDM
rand8,2.0,64,8,1.67,FSBNDM,
rand8,2.0,128,8,0.77,FSBNDM,FSBNDM
rand8,2.0,256,8,1.2,FSBNDM,
rand8,2.0,8,8,4.05,HOR,
rand8,2.0,16,8,3.36,HOR,
rand8,2.0,32,8,3.07,HOR,
rand8,2.0,64,8,2.11,HOR,
rand8,2.0,128,8,2.23,HOR,
rand8,2.0,256,8,3.21,HOR,
rand8,2.0,8,8,3.51,KR,
rand8,2.0,16,8,3.09,KR,
rand8,2.0,32,8,3.08,KR,
rand8,2.0,64,8,2.36,KR,
rand8,2.0,128,8,2.36,KR,
rand8,2.0,256,8,4.13,KR,
rand8,2.0,8,8,3.77,LBNDM,
rand8,2.0,16,8,1.7,LBNDM,
rand8,2.0,32,8,0.83,LBNDM,
rand8,2.0,64,8,0.72,LBNDM,LBNDM
rand8,2.0,128,8,1.1,LBNDM,
rand8,2.0,256,8,0.75,LBNDM,
rand8,2.0,8,8,3.05,RAITA,
rand8,2.0,16,8,1.61,RAITA,
rand8,2.0,32,8,2.91,RAITA,
rand8,2.0,64,8,1.47,RAITA,
rand8,2.0,128,8,1.46,RAITA,
rand8,2.0,256,8,2.55,RAITA,
rand8,2.0,8,8,3.11,SO,
